E01004602,Camden,Criminal Damage,Criminal Damage To Other Building,0,2012,5
E01004602,Wandsworth,Violence Against the Person,Common Assault,0,2016,3
E01004602,Hounslow,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,2
E01003560,Newham,Drugs,Drug Trafficking,0,2016,3
E01002491,Hillingdon,Robbery,Personal Property,0,2015,5
E01002473,Hillingdon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2012,11
E01004018,Southwark,Other Notifiable Offences,Going Equipped,0,2016,11
E01004281,Tower Hamlets,Theft and Handling,Handling Stolen Goods,0,2008,3
E01002857,Kensington and Chelsea,Violence Against the Person,Harassment,0,2014,1
E01000195,Barnet,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2010,1
